state,clinton,trump,others
Alabama,729.547,1.318.255,75.57
Alaska,116.454,163.387,38.767
Arizona,1.161.167,1.252.401,159.597
Arkansas,380.494,684.872,65.269
California,8.753.788,4.483.810,943.997
Colorado,1.338.870,1.202.484,238.866
Connecticut,897.572,673.215,74.133
Delaware,235.603,185.127,20.86
District of Columbia,282.83,12.723,15.715
Florida,4.504.975,4.617.886,297.178
Georgia,1.877.963,2.089.104,125.306
Hawaii,266.891,128.847,33.199
Idaho,189.765,409.055,91.435
Illinois,3.090.729,2.146.015,299.68
Indiana,1.033.126,1.557.286,144.546
Iowa,653.669,800.983,111.379
Kansas,427.005,671.018,86.379
Kentucky,628.854,1.202.971,92.324
Louisiana,780.154,1.178.638,70.24
Maine,357.735,335.593,54.599
Maryland,1.677.928,943.169,160.349
Massachusetts,1.995.196,1.090.893,238.957
Michigan,2.268.839,2.279.543,250.902
Minnesota,1.367.716,1.322.951,254.146
Mississippi,485.131,700.714,23.512
Missouri,1.071.068,1.594.511,143.026
Montana,177.709,279.24,40.198
Nebraska,284.494,495.961,63.772
Nevada,539.26,512.058,74.067
New Hampshire,348.526,345.79,49.842
New Jersey,2.148.278,1.601.933,123.835
New Mexico,385.234,319.666,93.418
New York,4.556.124,2.819.534,345.795
North Carolina,2.189.316,2.362.631,189.617
North Dakota,93.758,216.794,33.808
Ohio,2.394.164,2.841.005,261.318
Oklahoma,420.375,949.136,83.481
Oregon,1.002.106,782.403,216.827
Pennsylvania,2.926.441,2.970.733,218.228
Rhode Island,252.525,180.543,31.076
South Carolina,855.373,1.155.389,92.265
South Dakota,117.458,227.721,24.914
Tennessee,870.695,1.522.925,114.407
Texas,3.877.868,4.685.047,406.311
Utah,310.676,515.231,305.523
Vermont,178.573,95.369,41.125
Virginia,1.981.473,1.769.443,231.836
Washington,1.742.718,1.221.747,401.179
West Virginia,188.794,489.371,34.886
Wisconsin,1.382.536,1.405.284,188.33
Wyoming,55.973,174.419,25.457
